Id,Start,Name,Impact,Currency
afd9e95e-8c7b-4a09-82cf-c6bd23e5808f,03/29/2012 15:00:00,Kansas Fed Manufacturing Activity,LOW,USD
e08215ad-99d3-40e4-bdf8-b587869ce77b,03/30/2012 13:45:00,Chicago Purchasing Managers' Index,LOW,USD
40581a57-f3f8-4b01-9f1c-f2b496f886d8,04/02/2012 14:00:00,ISM Manufacturing PMI,MEDIUM,USD
ae74cf85-ac77-4814-94db-0cc91fd8cbde,04/03/2012 13:45:00,ISM-NY Business Conditions Index,LOW,USD
75d1a347-1f85-4e8b-8732-54d125a35f9f,04/03/2012 14:00:00,Factory Orders (MoM),MEDIUM,USD
e255436d-e1c0-4955-9914-56c6f8645e55,04/04/2012 14:00:00,ISM Services PMI,MEDIUM,USD
ca3ec3b2-2d7b-4bad-ae50-84429948ed13,04/10/2012 11:30:00,NFIB Business Optimism Index,LOW,USD
d90fcec4-225e-48fc-b021-11f726f515e2,04/10/2012 14:00:00,Wholesale Inventories,LOW,USD
ff26ccd9-a41a-4679-91f3-b2eb018d2396,04/16/2012 12:30:00,NY Empire State Manufacturing Index,LOW,USD
7e9c9eca-5af3-4db5-a318-213129863761,04/16/2012 14:00:00,Business Inventories,MEDIUM,USD
6faf8f64-73e7-485f-bb03-d6be54831ba1,04/17/2012 13:15:00,Capacity Utilization,LOW,USD
d4253324-a5e8-43d9-9f00-e02eed1abfa4,04/17/2012 13:15:00,Industrial Production (MoM),MEDIUM,USD
03596a37-5d61-4782-810f-9824b18c273a,04/19/2012 14:00:00,Philadelphia Fed Manufacturing Survey,MEDIUM,USD
73b8bb37-8613-4632-b8cf-2e1544dfb2ab,04/24/2012 14:00:00,Richmond Fed Manufacturing Index,LOW,USD
7365ae3c-f1b6-4d17-ae6f-565ee7a4629f,04/25/2012 12:30:00,Durable Goods Orders,MEDIUM,USD
cd965beb-80b7-4b6d-a6eb-8cd978fae8b4,04/25/2012 12:30:00,Durable Goods Orders ex Transportation,MEDIUM,USD
6e070458-4238-42ee-ac8c-11ee5cb0af94,04/25/2012 13:00:00,S&P Global Manufacturing PMI,MEDIUM,USD
fa848349-d36c-428b-ab82-eb13b0bbc0bb,04/26/2012 12:30:00,"Chicago Fed National Activity Index ",LOW,USD
94fb90c9-719e-479f-b53f-4dd4596c03e0,04/26/2012 15:00:00,Kansas Fed Manufacturing Activity,LOW,USD
25d99c50-4f6e-4922-a238-0586b66abc2c,04/27/2012 12:30:00,Gross Domestic Product Annualized,HIGH,USD
ff42b29d-0f2a-45af-b1f8-4cb8ffb5ab39,04/27/2012 12:30:00,Gross Domestic Product Price Index,HIGH,USD
71d63b9a-0b0b-40ed-9fb5-7daa0a72d785,04/30/2012 13:45:12,Chicago Purchasing Managers' Index,LOW,USD
ec44a5c3-f1db-4375-8de0-72a41d694e5f,04/30/2012 14:30:00,Dallas Fed Manufacturing Business Index,MEDIUM,USD
bcd9aa42-1044-490c-9c06-b9e1b5f7ece0,05/01/2012 14:00:00,ISM Manufacturing PMI,MEDIUM,USD
4b83f3ae-31cc-435d-ab09-924f99d7015c,05/02/2012 13:45:00,ISM-NY Business Conditions Index,LOW,USD
6a0afd26-dcef-4afb-be87-dd96dbb9a4f0,05/02/2012 14:00:00,Factory Orders (MoM),MEDIUM,USD
4335f317-89b3-426c-98d5-9c84916f11c7,05/03/2012 14:00:00,ISM Services PMI,MEDIUM,USD
e0a46302-67ff-4723-abec-e6a07da0c900,05/08/2012 11:30:00,NFIB Business Optimism Index,LOW,USD
bb18ab29-37f2-41a9-8069-2b860066d300,05/09/2012 14:00:00,Wholesale Inventories,LOW,USD
475f264a-8c74-4fcc-97f8-7ad9d3daa248,05/15/2012 12:30:00,NY Empire State Manufacturing Index,LOW,USD
531f5157-afd1-4f1c-bf0a-c398138a9152,05/15/2012 14:00:00,Business Inventories,MEDIUM,USD
ebc3a5e7-c30c-4e27-be00-4c281c4efaad,05/16/2012 13:15:00,Capacity Utilization,LOW,USD
403a6110-6984-4884-8f7b-d31f26a1c425,05/16/2012 13:15:00,Industrial Production (MoM),MEDIUM,USD
1a9f3c8f-37fe-4fc2-923f-a7ea9b7eedb4,05/17/2012 14:00:00,Philadelphia Fed Manufacturing Survey,MEDIUM,USD
8174ee32-0a2c-4c19-a9c1-3a7eb1c05d1f,05/21/2012 12:30:00,"Chicago Fed National Activity Index ",LOW,USD
fb42ceb5-38fa-458c-bbd7-9b3da419b683,05/22/2012 14:00:00,Richmond Fed Manufacturing Index,LOW,USD
485080d2-d083-4adb-a975-d69c6a41de9c,05/24/2012 12:30:00,Durable Goods Orders,MEDIUM,USD
09357316-a684-4da0-baca-85d803ad559d,05/24/2012 12:30:00,Durable Goods Orders ex Transportation,MEDIUM,USD
9e9cc998-ead7-4903-8b73-b92f2febf2dd,05/24/2012 13:00:18,S&P Global Manufacturing PMI,MEDIUM,USD
c42aeb1b-38d5-4e5c-b1cc-5001e37ef854,05/24/2012 15:00:00,Kansas Fed Manufacturing Activity,LOW,USD
12349ded-fddf-4cac-b2ec-4b6b686e5e91,05/29/2012 14:30:02,Dallas Fed Manufacturing Business Index,MEDIUM,USD
98f42227-068c-4ab9-b3be-de606a6f0738,05/31/2012 12:30:00,Gross Domestic Product Annualized,HIGH,USD
cd961731-8a9c-4f2a-9dcf-382aa7b53002,05/31/2012 12:30:00,Gross Domestic Product Price Index,MEDIUM,USD
823e4f46-7411-4c89-9153-ff4925a95aca,05/31/2012 13:45:00,Chicago Purchasing Managers' Index,LOW,USD
cc254d30-88fa-459c-8938-f5cb19c4fbac,06/01/2012 14:00:00,ISM Manufacturing PMI,MEDIUM,USD
41f12eee-404f-468e-8813-c8311e2342c9,06/01/2012 14:00:00,S&P Global Manufacturing PMI,MEDIUM,USD
8b93c5c1-787d-4f24-915b-3133a3bba8d7,06/04/2012 13:45:00,ISM-NY Business Conditions Index,LOW,USD
6587be58-16f9-48fd-8090-5dde07015eae,06/04/2012 14:00:00,Factory Orders (MoM),MEDIUM,USD
2b557009-da62-4175-9e3f-a25b5eaacf28,06/05/2012 14:00:00,ISM Services PMI,MEDIUM,USD
467af161-f7f6-4824-844f-a1dfda63644f,06/08/2012 14:00:00,Wholesale Inventories,LOW,USD
1ec77bc9-019f-4ba6-a1fd-19dd93428ce7,06/12/2012 11:30:00,NFIB Business Optimism Index,LOW,USD
b38b35ad-7c29-4baf-b43b-5964182498ca,06/13/2012 14:00:00,Business Inventories,MEDIUM,USD
086f408b-b649-45fd-b0f4-676a6b3024b6,06/15/2012 12:30:00,NY Empire State Manufacturing Index,LOW,USD
a11b6354-108a-47fb-bf7c-7245f4d8ba73,06/15/2012 13:15:00,Capacity Utilization,LOW,USD
ea62618d-8df0-4047-b83c-37d47f9791c4,06/15/2012 13:15:00,Industrial Production (MoM),MEDIUM,USD
2bb7daed-c61f-428f-8ec1-bf1a2e633280,06/21/2012 12:58:00,S&P Global Manufacturing PMI,MEDIUM,USD
90c2f2e3-dc81-409a-94bd-b01b51ff2973,06/21/2012 14:00:00,Philadelphia Fed Manufacturing Survey,MEDIUM,USD
15bf5bb4-0bca-47ae-8a73-36446a819b96,06/25/2012 12:30:00,"Chicago Fed National Activity Index ",LOW,USD
daf2de1e-de45-4e00-9460-736d8f16f75a,06/25/2012 14:30:00,Dallas Fed Manufacturing Business Index,LOW,USD
