Id,Start,Name,Impact,Currency
f711457c-62d9-4372-9e53-af6718efbd4f,03/30/2012 12:30:00,Core Personal Consumption Expenditures - Price Index (YoY),MEDIUM,USD
cca8869a-796b-48d6-a8b9-bb8e3d4847ad,03/30/2012 12:30:00,Personal Consumption Expenditures - Price Index (MoM),LOW,USD
ce461a75-5f73-4a60-ab53-18ab4232b7cf,03/30/2012 12:30:00,Personal Consumption Expenditures - Price Index (YoY),MEDIUM,USD
dcad9bf4-4a26-46f9-94e1-30a3232e7351,04/02/2012 14:00:00,ISM Manufacturing Prices Paid,MEDIUM,USD
fc453b95-204b-4735-9ea4-28088fed28ba,04/06/2012 19:00:00,Consumer Credit Change,MEDIUM,USD
f7db23b8-71cc-4310-96ff-974045fff74b,04/12/2012 12:30:00,Producer Price Index (MoM),LOW,USD
eb3268e0-2645-471b-82c4-7618af951a83,04/12/2012 12:30:00,Producer Price Index (YoY),MEDIUM,USD
a42d77ba-dab9-4337-9d7f-e75388decd03,04/12/2012 12:30:00,Producer Price Index ex Food & Energy (MoM),LOW,USD
a181deec-addc-4bf2-9d17-8a41f62a1260,04/12/2012 12:30:00,Producer Price Index ex Food & Energy (YoY),MEDIUM,USD
683a56e0-afa2-4dc3-aa7f-b1919349343d,04/13/2012 12:30:00,Consumer Price Index (MoM),MEDIUM,USD
56b539d5-6794-43d6-8b45-9a18ac788a7b,04/13/2012 12:30:00,Consumer Price Index (YoY),HIGH,USD
317b6552-7274-47d9-b33d-0be92c658640,04/13/2012 12:30:00,Consumer Price Index Core s.a,LOW,USD
4526ac79-eedd-4d98-80f8-e06fe5e9e7d1,04/13/2012 12:30:00,Consumer Price Index ex Food & Energy (MoM),MEDIUM,USD
c7ab73b8-5e51-45ce-82db-9a44b2858da4,04/13/2012 12:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
f276cbb3-54fa-434a-a90e-f79e05b019c0,04/13/2012 12:30:00,Consumer Price Index n.s.a (MoM),LOW,USD
2bf0fc5b-915b-44f0-8a81-51d40ec4887c,04/24/2012 14:00:00,Housing Price Index (MoM),LOW,USD
3c0c363b-b862-403a-81fc-5bfca0fa91ca,04/30/2012 12:30:00,Core Personal Consumption Expenditures - Price Index (MoM),MEDIUM,USD
cb98b230-c5dc-4715-a268-e390db68a88a,04/30/2012 12:30:00,Core Personal Consumption Expenditures - Price Index (YoY),MEDIUM,USD
954a0613-b2db-4781-9d51-aec32d210cca,04/30/2012 12:30:00,Personal Consumption Expenditures - Price Index (MoM),LOW,USD
5670cfc1-d69a-4b78-9a4b-d1b27b4f0fa7,04/30/2012 12:30:00,Personal Consumption Expenditures - Price Index (YoY),MEDIUM,USD
ed0bb5ce-0908-4f8f-ae42-3d16835e3047,05/01/2012 14:00:00,ISM Manufacturing Prices Paid,MEDIUM,USD
0a41583a-93fc-4ce2-b5e5-ceeb28eeffff,05/07/2012 19:00:00,Consumer Credit Change,MEDIUM,USD
2a3148a8-c931-4861-a497-052562eb0611,05/11/2012 12:30:00,Producer Price Index (MoM),LOW,USD
f8d3a888-6cf0-4b2a-a24d-b3a9553767a4,05/11/2012 12:30:00,Producer Price Index (YoY),MEDIUM,USD
f38bc11c-e13f-458d-9c7e-d73f4e108fda,05/11/2012 12:30:00,Producer Price Index ex Food & Energy (MoM),LOW,USD
1b6f26f1-56ea-4c2f-9703-a6dbd833a81c,05/11/2012 12:30:00,Producer Price Index ex Food & Energy (YoY),MEDIUM,USD
